"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048592","eye morphogenesis","11/193","159/18903",7.33955564002169e-07,0.00227746411509873,0.00198554294682692,"NTRK2/TTC8/BMP4/COL5A2/SHROOM2/FBN2/COL8A1/PITX2/BMP7/FAT3/HIPK2",11
"GO:0007626","locomotory behavior","11/193","197/18903",5.93947831872173e-06,0.00738911992694366,0.00644199610300565,"SNAP25/CNTN1/SOD2/PTEN/APP/NAV2/OPRD1/ZFHX3/SHANK2/HIPK2/ANKH",11
"GO:0030282","bone mineralization","8/193","123/18903",3.86333933634339e-05,0.0194806023944514,0.0169836145508558,"ROR2/BMP4/FBN2/BMP7/ADGRV1/ANKH/GPC3/GPM6B",8
"GO:0051893","regulation of focal adhesion assembly","6/193","64/18903",4.80418425425256e-05,0.0194806023944514,0.0169836145508558,"ROCK2/PTEN/EFNA5/PEAK1/DUSP22/GPM6B",6
"GO:0090109","regulation of cell-substrate junction assembly","6/193","64/18903",4.80418425425256e-05,0.0194806023944514,0.0169836145508558,"ROCK2/PTEN/EFNA5/PEAK1/DUSP22/GPM6B",6
"GO:0048167","regulation of synaptic plasticity","10/193","207/18903",5.47197631092711e-05,0.0194806023944514,0.0169836145508558,"NTRK2/SNAP25/PTEN/APP/NEURL1/SHANK2/GRIA1/SORCS2/AGT/RIMS2",10
"GO:0050804","modulation of chemical synaptic transmission","15/193","448/18903",5.93331345993122e-05,0.0194806023944514,0.0169836145508558,"LRRC4C/ROR2/NTRK2/SNAP25/ADIPOQ/ABR/PTEN/APP/SLC6A6/NEURL1/SHANK2/GRIA1/SORCS2/AGT/RIMS2",15
"GO:0099177","regulation of trans-synaptic signaling","15/193","449/18903",6.08404064575951e-05,0.0194806023944514,0.0169836145508558,"LRRC4C/ROR2/NTRK2/SNAP25/ADIPOQ/ABR/PTEN/APP/SLC6A6/NEURL1/SHANK2/GRIA1/SORCS2/AGT/RIMS2",15
"GO:0031346","positive regulation of cell projection organization","13/193","352/18903",7.00457932158922e-05,0.0194806023944514,0.0169836145508558,"ROR2/AUTS2/NTRK2/CUX1/CNTN1/ZDHHC15/BMP5/EFNA5/DVL3/NEURL1/BMP7/PLXNC1/AGT",13
"GO:0150116","regulation of cell-substrate junction organization","6/193","69/18903",7.36385656939778e-05,0.0194806023944514,0.0169836145508558,"ROCK2/PTEN/EFNA5/PEAK1/DUSP22/GPM6B",6
"GO:0031214","biomineral tissue development","9/193","174/18903",7.68051670738492e-05,0.0194806023944514,0.0169836145508558,"ROR2/ROCK2/BMP4/FBN2/BMP7/ADGRV1/ANKH/GPC3/GPM6B",9
"GO:0070167","regulation of biomineral tissue development","7/193","103/18903",8.99257396566975e-05,0.0194806023944514,0.0169836145508558,"ROCK2/BMP4/FBN2/BMP7/ADGRV1/ANKH/GPM6B",7
"GO:0030501","positive regulation of bone mineralization","5/193","45/18903",9.23887516663623e-05,0.0194806023944514,0.0169836145508558,"BMP4/FBN2/BMP7/ADGRV1/GPM6B",5
"GO:0110149","regulation of biomineralization","7/193","105/18903",0.000101547731507669,0.0194806023944514,0.0169836145508558,"ROCK2/BMP4/FBN2/BMP7/ADGRV1/ANKH/GPM6B",7
"GO:0110148","biomineralization","9/193","181/18903",0.000103902208151182,0.0194806023944514,0.0169836145508558,"ROR2/ROCK2/BMP4/FBN2/BMP7/ADGRV1/ANKH/GPC3/GPM6B",9
"GO:0003018","vascular process in circulatory system","11/193","270/18903",0.000108081243117827,0.0194806023944514,0.0169836145508558,"ROCK2/ARHGAP42/KCNMA1/SOD2/VSTM4/CDH5/SLC6A6/DOCK4/AGT/ANGPT1/ABCC5",11
"GO:0003253","cardiac neural crest cell migration involved in outflow tract morphogenesis","3/193","10/18903",0.000119281806475855,0.0194806023944514,0.0169836145508558,"BMP4/PITX2/BMP7",3
"GO:0014066","regulation of phosphatidylinositol 3-kinase signaling","7/193","111/18903",0.000143943859448226,0.0220282130418964,0.0192046771435703,"ROR2/NTRK2/RASGRP1/PTEN/FSHR/AGT/ANGPT1",7
"GO:0043542","endothelial cell migration","11/193","281/18903",0.000153459647995044,0.0220282130418964,0.0192046771435703,"ROCK2/BMP4/STC1/VSTM4/PTEN/STARD13/CDH5/SCARB1/AGT/ANGPT1/FOXP1",11
"GO:0055001","muscle cell development","9/193","191/18903",0.00015617811373565,0.0220282130418964,0.0192046771435703,"NEBL/DYSF/BMP4/SMYD3/MEGF10/AGT/FOXP1/WFIKKN2/DMD",9
"GO:0043410","positive regulation of MAPK cascade","15/193","496/18903",0.000182425010189933,0.0235860336091401,0.0205628191310582,"ROR2/ROCK2/NTRK2/BMP4/RASGRP1/PTEN/APP/ACKR3/DVL3/CCL3L3/SLC30A10/HIPK2/FSHR/DUSP22/ANGPT1",15
"GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","11/193","290/18903",0.000201787586021276,0.0236792843067701,0.020644117125498,"LDLRAD4/BMP4/CDH5/FBN2/BMP5/BMP7/HIPK2/GPC3/PRDM16/WFIKKN2/RASL11B",11
"GO:0010975","regulation of neuron projection development","14/193","446/18903",0.00020511622554468,0.0236792843067701,0.020644117125498,"LRRC4C/ROR2/NTRK2/CUX1/SNAP25/CNTN1/PTEN/ZDHHC15/BMP5/EFNA5/BMP7/FAT3/PLXNC1/AGT",14
"GO:0045778","positive regulation of ossification","5/193","54/18903",0.000222034164861601,0.0237576556401913,0.0207124429653109,"BMP4/FBN2/BMP7/ADGRV1/GPM6B",5
